timestamp	commit	tps	memory_gib	status	mfu_pct	wall_time_s	description
2026-05-27T15:50:43	2ffbabc5	7162	47.5	baseline	41.94	84	Run 3 baseline: production passes (cleanup + FSDP bucketing/reorder + regional Inductor + cudagraph), no SAC, no extra custom passes
2026-05-28T00:15:00	xxxxxxx	7170	47.5	discard	41.98	81	joint_graph_passes after normalize_view_ops_as_reshape: +0.11% in noise
2026-05-28T00:23:00	xxxxxxx	7023	47.6	discard	41.13	80	async_tensor_parallel_pass after bucketing: 99 'no producer matmul' skips, -1.9% throughput
2026-05-28T00:30:00	xxxxxxx	7164	47.5	discard	41.95	79	async_TP first in compile_time_passes: 0 fusions (DTensor redistribute inserts view/permute breaking matcher)
2026-05-28T00:40:00	xxxxxxx	0	0.0	crash	0.0	0	bucket_all_reduce after FSDP bucketing: lint fail (FSDP overlap moves AR-wait consumers earlier, breaking topology)
2026-05-28T00:50:00	xxxxxxx	0	0.0	crash	0.0	0	bucket_all_reduce before FSDP bucketing: same lint fail, upstream topology bug not position-dependent
2026-05-28T00:55:00	08d24de9	7229	47.7	keep	42.34	79	2-layer FSDP bucket plan: +0.94% avg over 3 runs (7239/7214/7236), bitwise PASS
2026-05-28T01:10:00	xxxxxxx	7253	47.6	discard	42.47	80	4-layer FSDP bucket plan: +0.33% vs 2-layer (in noise)
2026-05-28T01:30:00	xxxxxxx	7239	47.7	discard	42.39	112	SwiGLU regional Inductor (128 nodes tagged): +0.14% in noise, bitwise PASS - confirms pointwise fusion is bitwise-safe
2026-05-28T01:50:00	xxxxxxx	7192	47.7	discard	42.11	246	Broad pointwise tag (1328 nodes, silu/mul/add/sub/_to_copy/view_as_complex): -0.51%, Inductor can't codegen complex ops
2026-05-28T02:15:00	ab9a521f	7294	49.1	keep	42.72	128	auto_overlap_bucketing (schedule_overlap_bucketing): +0.90% over 2-layer manual (7291/7305/7287), +1.84% over Run3 baseline
2026-05-28T02:25:00	xxxxxxx	7274	49.1	discard	42.60	130	overlap_fsdp_ag_rs_pass unconditional: -0.27% (auto-bucketer already hides most AG)
2026-05-28T02:35:00	xxxxxxx	7240	49.4	discard	42.40	129	schedule_overlap_bucketing tuned (memory 8GB, in_flight 16GB, compute_mul 1.5, fusion_regions): -0.74%, bucket count capped by pre-bucket FSDP
2026-05-28T02:50:00	xxxxxxx	7287	49.1	discard	42.66	117	schedule_overlap_bucketing pre_bucketing=False: -0.10%, no schedule change
2026-05-28T03:10:00	xxxxxxx	7141	49.1	discard	41.81	125	async TP between normalize+bucket: 356 'no producer matmul' skips, 0 fusions, -2.1%
